,title,hits
67,"""2025수능 D-4"" 수능 4일 전 2025수능 수험생 유의사항 리뷰해보았습니다",498085
2,"""2025수능 D-4"" 수능 4일 전 2025수능 수험생 유의사항 리뷰해보았습니다",498085
19,"(EN) 떠나기 직전, 갑작스런 아이의 충격적인 고백 Just Before Leaving, the Child’s Shocking Confession",175056
22,(ENG) 일론 머스크는 나 모델로 안 쓰겠지? 내돈내산 테슬라 리뷰 해드립니다 (※광고 아님※)ㅣ할명수 ep.208,887291
75,(ENG) 일론 머스크는 나 모델로 안 쓰겠지? 내돈내산 테슬라 리뷰 해드립니다 (※광고 아님※)ㅣ할명수 ep.208,887291
43,(SUB) 나연이의 거실을 소개합니다🏠 | 가구 인테리어 공개✨ | 한강뷰 거실룸투어🏞️ | 룸투어를 하지 못했던 이유 | 흔하지 않은 테이블을 찾아서👀 | 신라호텔 데이트🥂,215619
64,19시간 실크로드 택시기행 - 타지키스탄(1),974098
47,19시간 실크로드 택시기행 - 타지키스탄(1),974098
61,BABYMONSTER - 'DRIP' M/V,69515162
56,G-DRAGON - 'POWER' Official Dance Practice Video,1845741
9,G-DRAGON - 'POWER' Official Dance Practice Video,1845741
55,G-DRAGON - 'POWER' Official Performance Video,4448427
50,G-DRAGON - POWER (Official Video),22844018
82,Linkin Park - Heavy Is The Crown | 마스터카드와 함께하는 2024 월드 챔피언십 결승 개막식,2741817
27,NCT DREAM 엔시티 드림 'Flying Kiss' MV,1416838
13,New당구여신 김보미 정수빈VS연예계 대표 정준하 이수근의 한판 대결!!!,110201
53,ROSÉ & Bruno Mars - APT. (Official Music Video),322136533
83,ROZÉM & Bruzi Mar - jaegunchuk APT. (not Official Music Video),3574740
37,The RIIZE Court ❮엉엉 회전초밥 사건의 전말❯ | WE RIIZE EP.26,269954
78,[#유퀴즈온더블럭] 우리들의 그 시절의 이름은 ‘빅뱅’이었다…🔥 빅뱅 데뷔 20주년 기념 컴백 계획 중이라는 지디 (제발)😭,1097395
60,[#유퀴즈온더블럭] 💥지드래곤의 컴백을 격하게 환영합니다💥 7년 만에 신곡 〈POWER〉로 돌아온 지디💕,2846344
17,[2024 PLAVE BIRTHDAY GIFT] 예준 - 숲 (원곡 : 최유리),339843
68,[2024 PLAVE BIRTHDAY GIFT] 예준 - 숲 (원곡 : 최유리),339843
30,[EN/JP] 영원한 건 절대 있어…☘️ | 7년만에 돌아온 빅뱅 | 집대성 ep.29,4328304
51,[EN/JP] 왕들의 귀환 ⭐️빅뱅 완전체!!!⭐️ | 시기가 왔다! | 집대성 ep.28,7115328
62,[ENG/JPN] 카라 발표회 도중에 카라가 나타난다면?  | 투모로우바이투게더 수빈 | 카라 박규리 | 최애의 최애,1508566
26,[ENG/JPN] 카라 발표회 도중에 카라가 나타난다면?  | 투모로우바이투게더 수빈 | 카라 박규리 | 최애의 최애,1508566
0,[EN] 섬세한 I들은 핑계고ㅣEP.61,2905513
14,[SUB] 감성으로 시작해서 스릴러로 끝난 TXT의 힐링 캠프⛺ | 아이돌 인간극장,430956
63,[SUB] 아미님 우리 진이가 너무 잘해요 | EP.64 진 | 살롱드립2,1656946
25,"[SUB]""나야, 에스파” 프리티 핫 걸즈 젤닝이가 놀러왔어요 근데 이제 우정을 곁들인...♥EP.1(EN/TH)",655520
28,[sub] 20대 도영의 추구미는 sexy❤️‍🔥 마이애미에서의 앙큼했던 썰 I 혤's club🍸 ep32 도영,286374
31,[놀면 뭐하니?] 세호 결혼하더니 변했어! | #놀면뭐하니? #유재석 #조세호 #MBC241109방송,409376
16,[더 딴따라] 아 뭐야 춤 더 춰 줘요! 괴물같은 흡입력✨김혜린 - 원망 & Im Ready✨ [더 딴따라] | KBS 방송,80069
12,[밥묵자]코리안 좀비 VS 코리안 무좀(feat. 정찬성),382686
8,[썬더볼츠*] 캐릭터 예고편,332558
40,[아형✪하이라이트] 얘(=임태훈)랑 대결을?🤔 '딤섬의 여왕' 정지선을 의아하게 만든 셰프들의 첫 만남ㅋㅋ | 아는 형님 | JTBC 241109 방송,191111
46,[유료광고포함] 🍼 내가..엄마..? 낮에는 육아 밤에는 일! 24시간이 모자라다! 일주일동안 열정가득 엄마로 살기 챌린지!,513667
87,[인기 급상승 동영상] 김치에 육수 물✅️ 절대 넣지 마세요! 절임배추 20kg 깊고 시원한 맛의 양념 비법 공개!,207707
44,[인기 급상승 동영상] 김치에 육수 물✅️ 절대 넣지 마세요! 절임배추 20kg 깊고 시원한 맛의 양념 비법 공개!,207707
5,[캡틴 아메리카: 브레이브 뉴 월드] '보이지 않는 위협' 예고편,669827
76,[캡틴 아메리카: 브레이브 뉴 월드] '보이지 않는 위협' 예고편,669827
79,aespa 에스파 'Whiplash' MV,60967918
71,"tuki -만찬가 [晩餐歌]🎵""저 가수입니다🎤"" by강남",820934
95,‘내 집에서는 한국말 하세요!’ 맹랑한 체리에게 충격받은 미국 할아버지 ㅋㅋ,646311
36,‘내 집에서는 한국말 하세요!’ 맹랑한 체리에게 충격받은 미국 할아버지 ㅋㅋ,646311
18,갈림길에서 고민 될 때! 논나가 딱 정해드립니다. [연애 · 결혼 · 육아 · 인간관계],110064
33,결혼하고 혼자서 처음 해보는 김장,166683
92,"귀, 위가 터질 것 같은 1일 4식 마카오 음식 일주 【마카오】",1681229
77,깍두기 힘들게 담그지마세요✔️ 이 방법은 요즘 없어서 못 먹습니다,766200
