,title,hits
5,,267599
4,,271997
3,,214518
169,"""24시간 안에 끝낸다"" 트럼프에 발빠른 축하…우크라전 뒤집힐까 / 연합뉴스 (Yonhapnews)",59481
323,"""DON'T Go After My Wife!"" Trump Victory Debate Feat Roger Stone, Sean Spicer & Anthony Scaramucci",1358402
165,"""Look what happened!"": Trump proclaims victory in 2024 US election | FULL SPEECH",641356
415,"""Look what happened!"": Trump proclaims victory in 2024 US election | FULL SPEECH",641356
295,"""Total Electoral BLOODBATH"" Donald Trump DEFEATS Kamala Harris!",3940810
499,"""We know you're lying"": Undecided voter's emotional response to Trump",1479688
516,"""You May Never Vote Again!"" - Oprah Winfrey's FEAR-MONGERING Anti-Trump Election Message EXPOSED!",1325628
522,"""가장 아름다운 단어야"" 트럼프 한마디에 한국 '초비상' #뉴스다 / JTBC News",475744
547,"""내 직감보다 못한 연준""...'메스' 든 트럼프, 칼 휘두르나 [지금이뉴스] / YTN",25971
107,"""땡큐 트럼프"" 치솟는 테슬라·비트코인 / SBS / #D리포트",33700
2,"""미국의 황금기를!"" 트럼프 한 마디에 날뛰는 지지자들...'초유 사태의 연속' 대통령 만든 '결정적 장면들' 돌아보니 (현장영상) / SBS",493783
48,"""미국의 황금기를!"" 트럼프 한 마디에 날뛰는 지지자들...'초유 사태의 연속' 대통령 만든 '결정적 장면들' 돌아보니 (현장영상) / SBS",493783
346,"""새 부통령은 유명한 흙수저임""…트럼프 러닝메이트 J.D 밴스는 누구? #shorts / KBS",22842
523,"""세상이 놀랄만한 관세"" 트럼프 폭주...다급해진 중국 '대탈출' [지금이뉴스] / YTN",177870
351,"""완전체 트럼프의 등장"" 이제 여러분이 알던 그 미국은 이제 없습니다 / 김정호 교수 (1부)",115920
602,"""위대한 승리 쟁취"" 트럼프, 승리 선언 연설 - 이 시각 플로리다 팜비치 현장 생중계 / SBS",132674
352,"""이란, 재선 전 트럼프 암살 논의""…3명 기소 / SBS",33194
426,"""젤렌스키 용돈 끊기 38일 전""…조롱글 올린 트럼프 장남 #소셜픽 / JTBC 아침&",129430
23,"""주한미군, 한국 주둔 불필요해""…'트럼프 2.0 시대' 대한민국에 닥칠 일 - 교양이를 부탁해 (이슈라이브) / SBS",38672
520,"""취임 첫날 불법 이민자 추방"" 트럼프 2기 첫 행정명령은..이란 암살 모의? ""산산조각 낼 것""/ SBS / 모아보는 뉴스",157016
271,'Apprentice' faked Trump's success?,385196
202,"'I Will Stop Wars,' Said Donald Trump In His Address In Florida | US Elections 2024 | News18",53832
300,"'I'm speechless': Hosts react to CNN, MSNBC takes on Trump victory",2355199
467,"'I'm speechless': Hosts react to CNN, MSNBC takes on Trump victory",2355226
252,'Lefty land' loses it over Donald Trump victory,5849959
433,'Longest Interview I've Ever Done': Trump Apologizes For Lateness To MI Rally Due To Joe Rogan Hit,1242013
268,'She Will Not Change Anything': Dana White Slams VP Harris At Trump's Madison Square Garden Rally,414388
22,"'Stop it, folks': Hear Kinzinger's message to people worried about Trump coming after them",507928
265,'TOTAL REJECTION': 'Fox & Friends' reacts to Trump's projected 2024 victory,3843865
488,'The Five' reacts to Kamala conceding to Trump,870304
377,'The Five' reacts to Trump's historic political comeback,1696637
230,'The Ice Maiden': Trump picks Susie Wiles as first female WH chief of staff,749404
240,'The Trump effect': Hosts react to cascading impact of Trump's 2024 victory,272898
273,"'The View,' MSNBC 'shattered' over Trump victory: 'Legacy media is dead'",1023886
65,"'This Is Karma, Ladies And Gentlemen!': Dana White Speaks During Trump Victory Celebration",1290383
364,'UTTER ARROGANCE': NY AG skewered for 'distasteful' post-Trump-victory remarks,1799884
62,'We have taken control of the state' - Trump,43368
363,'Wow!': Trump is surrounded by convicted and accused criminals,1504999
